Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
123,Fernando Cortez\cortefe01,2008-01-24,Chicago White Sox,KCR,26,-0.3,2,16,27,3,5,0,2,0,2,.185,.241,.222,.464,,,,,,,,,,,,
124,Lance Niekro\niekrla01,2008-01-24,Houston Astros,SFG,29,0.3,4,195,499,61,123,17,79,0,29,.246,.288,.421,.709,,,,,,,,,,,,
125,Chris Booker\bookech01,2008-01-23,Washington Nationals,WSN,31,-0.6,3,16,0,0,0,0,0,0,0,,,,,0,1,14.29,2.294,17,0,0,11.1,17,7,9,10
126,Melvin Dorta\dortame01,2008-01-22,Pittsburgh Pirates,WSN,26,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,
127,Octavio Dotel\doteloc01,2008-01-22,Chicago White Sox,ATL,34,0.0,9,319,74,3,5,0,1,0,5,.068,.138,.068,.205,39,32,3.76,1.237,428,34,82,641.0,511,80,282,773
128,Jose Garcia\garcijo01,2008-01-22,Oakland Athletics,OAK,23,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,
129,Danny Kolb\kolbda01,2008-01-22,Boston Red Sox,PIT,33,-1.4,9,216,1,0,0,0,0,0,0,.000,.000,.000,.000,11,23,4.36,1.517,290,0,73,286.2,301,20,134,177
130,Brian Lawrence\lawrebr02,2008-01-22,Kansas City Royals,NYM,32,0.0,6,160,289,16,38,1,20,0,13,.131,.168,.166,.334,50,63,4.19,1.341,168,152,0,963.0,1023,101,268,597
131,George Lombard\lombage01,2008-01-22,Los Angeles Dodgers,WSN,32,0.2,9,,,,,,,,,,,,,,,,,,,,,,,,
132,Julio Manon\manonju01,2008-01-22,Baltimore Orioles,OAK,35,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,
133,Henry Mateo\mateohe01,2008-01-22,Detroit Tigers,DET,31,0.1,6,,,,,,,,,,,,,,,,,,,,,,,,
134,Mike O'Connor\oconnmi01,2008-01-22,Washington Nationals,WSN,27,0.5,1,20,31,2,2,0,1,0,1,.065,.094,.065,.158,3,8,4.80,1.343,21,20,0,105.0,96,15,45,59
