,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,uBB,1B,PA,R/PA,league_scalar,lgID,lg_PA,lg_wRC,park_factor,playerID,player_season,stint,teamID,w1B,w2B,w3B,wHBP,wHR,wuBB,yearID,year_lg,year_team,year_wOBA,year_wOBAScale,wOBA,wRAA,wRC+,wRC+_t-1,is_signed,is_unsigned,is_fa,service_time
belnovi01_2014,4,10,1,1,1,0,0,1.0,0.0,0.0,3,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0,14.0,0.10800000000000001,0.10994838512969053,AL,91834,10097,97,belnovi01,belnovi01_2014,1,TBA,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_AL,2014_TBA,0.31,1.304,0.20469230769230773,-1.1306040585181685,27.724433799319836,,False,False,False,
beltbr01_2011,63,187,21,42,6,1,9,18.0,3.0,2.0,20,57.0,1.0,2.0,0.0,0.0,3.0,19.0,26,209.0,0.11199999999999999,0.11544987864338338,NL,93114,10750,94,beltbr01,beltbr01_2011,1,SFN,0.89,1.27,1.611,0.726,2.086,0.6940000000000001,2011,2011_NL,2011_SFN,0.316,1.264,0.3162644230769231,0.04372185370009997,103.01370332281878,,False,False,False,
beltbr01_2012,145,411,47,113,27,6,7,56.0,12.0,2.0,54,106.0,5.0,3.0,0.0,4.0,2.0,49.0,73,472.0,0.114,0.11916426045485513,NL,92469,11019,93,beltbr01,beltbr01_2012,1,SFN,0.884,1.2570000000000001,1.5930000000000002,0.722,2.0580000000000003,0.691,2012,2012_NL,2012_SFN,0.315,1.245,0.33931477516059955,9.21813162715099,118.75199774486262,103.01370332281878,False,False,False,
beltbr01_2013,150,509,76,147,39,4,17,67.0,5.0,2.0,52,125.0,4.0,6.0,1.0,3.0,4.0,48.0,87,571.0,0.11,0.11250129371312917,NL,86959,9783,92,beltbr01,beltbr01_2013,1,SFN,0.888,1.271,1.6159999999999999,0.722,2.101,0.69,2013,2013_NL,2013_SFN,0.314,1.2770000000000001,0.36476678445229677,22.699948255490565,140.93591305316983,118.75199774486262,False,False,False,
beltbr01_2014,61,214,30,52,8,0,12,27.0,3.0,1.0,18,64.0,2.0,2.0,0.0,1.0,4.0,16.0,32,235.0,0.10800000000000001,0.11228414669361825,NL,86575,9721,95,beltbr01,beltbr01_2014,1,SFN,0.892,1.2830000000000001,1.635,0.722,2.135,0.6890000000000001,2014,2014_NL,2014_SFN,0.31,1.304,0.3300257510729614,3.6089352010321534,114.6708372104857,140.93591305316983,False,False,False,
beltbr01_2015,137,492,73,138,33,5,18,68.0,9.0,3.0,56,147.0,2.0,4.0,0.0,4.0,3.0,54.0,82,556.0,0.113,0.11658365615200147,NL,86736,10112,96,beltbr01,beltbr01_2015,1,SFN,0.8809999999999999,1.256,1.594,0.718,2.065,0.687,2015,2015_NL,2015_SFN,0.313,1.251,0.35884476534296034,20.37545126353793,132.23679902207198,114.6708372104857,False,False,False,
beltbr01_2016,156,542,77,149,41,8,17,82.0,0.0,4.0,104,148.0,4.0,5.0,0.0,4.0,7.0,100.0,83,655.0,0.11800000000000001,0.12316953373083865,NL,87546,10783,97,beltbr01,beltbr01_2016,1,SFN,0.878,1.242,1.569,0.721,2.015,0.691,2016,2016_NL,2016_SFN,0.318,1.212,0.3737450076804915,30.126221147460345,136.0192132622606,132.23679902207198,False,False,False,
beltbr01_2017,104,382,63,92,27,3,18,51.0,3.0,2.0,66,104.0,2.0,2.0,0.0,1.0,5.0,64.0,44,451.0,0.122,0.12856540517133316,NL,87753,11282,96,beltbr01,beltbr01_2017,1,SFN,0.877,1.232,1.5519999999999998,0.723,1.98,0.693,2017,2017_NL,2017_SFN,0.321,1.185,0.3517728285077952,11.711852875118668,118.8878387996005,136.0192132622606,False,False,False,6.127999999999999
beltbr01_2018,112,399,50,101,18,2,14,46.0,4.0,0.0,49,107.0,6.0,6.0,0.0,2.0,2.0,43.0,67,456.0,0.11699999999999999,0.12212761126248865,NL,88080,10757,96,beltbr01,beltbr01_2018,1,SFN,0.88,1.247,1.578,0.72,2.031,0.69,2018,2018_NL,2018_SFN,0.315,1.226,0.3266355555555555,4.327743338771055,107.40459414593668,118.8878387996005,False,False,False,7.127999999999999
beltrad01_2006,156,620,88,166,39,4,25,89.0,11.0,5.0,47,118.0,4.0,10.0,1.0,3.0,15.0,43.0,98,681.0,0.126,0.12917959225723738,AL,87359,11285,96,beltrad01,beltrad01_2006,1,SEA,0.89,1.2409999999999999,1.557,0.737,1.97,0.708,2006,2006_AL,2006_SEA,0.332,1.17,0.3386257396449704,3.856520254893013,105.82401054909865,,False,False,False,8.096
